epoch,training_time,training_loss
1,6.879688024520874,0.4093936684101245
2,6.744466304779053,0.338412712514426
3,6.93556809425354,0.33173528945581987
4,7.119606256484985,0.3288744245152176
5,7.45317006111145,0.32700866224233527
